Area of residence,Area of workplace,potential_demand
E02005956,E02005942,3
E02005956,E02005945,48
E02005956,E02005946,6
E02005956,E02005947,96
E02005956,E02005948,14
E02005956,E02005949,32
E02005956,E02005950,18
E02005956,E02005952,137
E02005956,E02005953,3
E02005956,E02005954,41
E02005956,E02005955,39
E02005956,E02005956,19
E02005956,E02005957,12
E02005956,E02005978,1
E02005956,E02005979,2
E02005957,E02005940,1
E02005957,E02005941,2
E02005957,E02005942,4
E02005957,E02005945,35
E02005957,E02005946,7
E02005957,E02005947,84
E02005957,E02005948,13
E02005957,E02005949,24
E02005957,E02005950,21
E02005957,E02005951,4
E02005957,E02005952,151
E02005957,E02005953,5
E02005957,E02005954,53
E02005957,E02005955,46
E02005957,E02005956,30
E02005957,E02005957,8
E02005957,E02005978,1
E02005957,E02005979,5
E02005978,E02005940,3
E02005978,E02005941,9
E02005978,E02005942,8
E02005978,E02005945,19
E02005978,E02005946,2
E02005978,E02005947,187
E02005978,E02005948,57
E02005978,E02005949,11
E02005978,E02005950,13
E02005978,E02005952,20
E02005978,E02005953,1
E02005978,E02005954,16
E02005978,E02005955,8
E02005978,E02005956,0
E02005978,E02005978,12
E02005978,E02005979,34
E02005979,E02005940,4
E02005979,E02005941,15
E02005979,E02005942,18
E02005979,E02005945,36
E02005979,E02005946,2
E02005979,E02005947,362
E02005979,E02005948,109
E02005979,E02005949,28
E02005979,E02005950,33
E02005979,E02005951,9
E02005979,E02005952,40
E02005979,E02005953,8
E02005979,E02005954,36
E02005979,E02005955,29
E02005979,E02005956,5
E02005979,E02005957,1
E02005979,E02005978,18
E02005979,E02005979,25
