Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02001041,E02001041,138,0,8,1,9,1,0,44,4,1,70,0,0,0.016635551673110833,0.007246376811594203,0.012446803278460506,0.5821877834394823,67,0.5570275075532123,2.6513716734959996,4,0.028985507246376812,0,NA,NA
E02001041,E02001042,134,0,8,0,5,1,0,48,11,1,59,1,1655.1681724718137,0.020010040715795256,0.007462686567164179,0.053923485000733844,0.1383939959938164,74,3.625341545841954,17.25610988874785,18,0.13432835820895522,1.6551681724718137,1-2 km,0-2 km
E02001041,E02001043,30,0,0,0,0,0,0,16,4,1,9,0,2638.514048449959,0.020109948295042215,0.03333333333333333,0.06076264925382218,0.5485826201239333,20,0.8308581279793119,3.954766461883966,5,0.16666666666666666,2.638514048449959,2-3 km,2-4 km
E02001041,E02001044,72,0,7,1,6,1,0,37,2,1,16,1,1743.3629747364373,0.014296905210077374,0.013888888888888888,0.060912253291252896,0.22801469554046783,55,2.860408711830908,13.61513844528613,15,0.20833333333333334,1.7433629747364372,1-2 km,0-2 km
E02001041,E02001045,18,0,4,0,2,2,0,9,0,0,1,0,3402.5240649117663,0.03118144540201297,0,0.05053261778756589,0,17,0.8590545023886201,4.08897719185763,4,0.2222222222222222,3.4025240649117663,3-4 km,2-4 km
E02001041,E02001048,12,0,1,0,0,0,0,7,0,0,4,0,2940.5132826423123,0.02529936869993476,0,0.05600649205697888,0,8,0.448051936455831,2.1326634617959797,2,0.16666666666666666,2.9405132826423124,2-3 km,2-4 km
E02001041,E02001050,46,0,5,0,6,0,0,32,3,0,0,0,5570.078508648794,0.02484272014083673,0,0.04926442433277255,0,46,2.266163519307537,10.786615887237899,11,0.2391304347826087,5.570078508648794,5-6 km,4-6 km
E02001041,E02001052,36,0,4,0,9,1,0,18,1,3,0,0,4397.951346131036,0.013525455703545852,0.08333333333333333,0.06729251335077163,1.2383745112765618,33,0.9412236161118502,4.480090480892519,7,0.19444444444444445,4.397951346131036,4-5 km,4-6 km
E02001041,E02001055,18,0,0,0,1,1,1,15,0,0,0,0,8941.227523920328,0.018592621204218476,0,0.03240345769378503,0,18,0.5832622384881306,2.7762452596644294,3,0.16666666666666666,8.941227523920329,8-9 km,8-10 km
E02001041,E02001057,11,0,3,0,2,0,0,6,0,0,0,0,8031.802122483058,0.01806126194666352,0,0.038809091173648266,0,11,0.4269000029101309,2.031983267941493,2,0.18181818181818182,8.031802122483057,8-9 km,8-10 km
E02001041,E02001059,16,0,0,0,1,0,1,13,1,0,0,0,10152.774671952677,0.01723117897691676,0,0.025883292873486816,0,16,0.41413268597578906,1.9712126560646168,2,0.125,10.152774671952677,10-11 km,10-11 km
E02001041,E02001062,47,0,10,0,6,2,0,17,6,6,0,0,9495.78274917482,0.017870233052004136,0.1276595744680851,0.02938062809185069,4.345025370764421,41,0.05927368993470798,0.28213432971522806,6,0.1276595744680851,9.49578274917482,9-10 km,8-10 km
E02001041,E02001063,27,0,6,0,7,0,0,13,1,0,0,0,10611.51844060117,0.02228801749742004,0,0.021254523825050525,0,27,0.5738721432763642,2.731549742623864,3,0.1111111111111111,10.61151844060117,10-11 km,10-11 km
E02001041,E02001066,27,0,4,1,4,0,0,16,2,0,0,0,11122.93009307693,0.01592371843492499,0,0.021358674215367253,0,27,0.5766842038149158,2.744934750644064,3,0.1111111111111111,11.12293009307693,11-12 km,11-12 km
E02001041,E02001259,21,0,5,0,0,0,0,15,1,0,0,0,10688.275193844644,0.02122305358925326,0,0.021319222149515416,0,21,0.44770366513982374,2.1310057398891944,2,0.09523809523809523,10.688275193844644,10-11 km,10-11 km
E02001041,E02006902,244,0,89,1,44,0,1,77,19,8,5,0,6992.825410571333,0.015725481785390436,0.03278688524590164,0.04817515802668069,0.6805765998264788,231,6.943223686248072,33.04875675768313,41,0.1680327868852459,6.992825410571333,6-7 km,6-8 km
E02001041,E02006912,138,0,49,2,22,1,3,51,2,8,0,0,8431.293305206547,0.018234931858033602,0.057971014492753624,0.03596576171845588,1.611838919096373,130,1.5297510224189212,7.281397190165894,15,0.10869565217391304,8.431293305206548,8-9 km,8-10 km
