Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02002871,E02002876,41,0,1,0,6,1,0,22,5,1,5,0,2454.085525607946,0.027198212191745615
E02002871,E02002877,28,0,0,0,9,0,0,17,1,1,0,0,3999.09489717541,0.022195490485895322
E02002871,E02002879,65,0,0,0,14,1,0,36,5,2,7,0,3192.965917467485,0.023485418645336032
E02002871,E02002881,29,0,0,0,3,0,0,21,4,0,1,0,4902.287454918973,0.017820485048058873
E02002871,E02002882,29,0,1,0,8,0,0,16,3,1,0,0,5041.128266654575,0.0394031606564671
E02002871,E02002883,12,0,0,0,2,0,1,7,2,0,0,0,6427.13640201502,0.02457296078409509
E02002871,E02002884,43,0,0,0,14,0,0,26,2,0,1,0,4105.6297372678755,0.018860745646075625
E02002871,E02002885,39,0,4,0,11,0,0,18,3,0,1,2,3981.3609163045926,0.018351185721413303
E02002871,E02002886,31,0,2,0,0,0,0,21,4,1,3,0,4432.306193944887,0.01929055554180715
E02002871,E02002887,49,0,1,0,10,0,0,35,1,2,0,0,5786.395676823929,0.019849529590122615
E02002871,E02002889,57,0,8,0,25,0,0,19,2,2,1,0,5131.0532790640445,0.022302184013827994
E02002871,E02002890,116,0,8,0,67,0,2,31,4,0,4,0,6129.9264588056285,0.023939888784038698
E02002871,E02002892,20,0,0,0,6,0,1,10,0,2,1,0,6762.107328279364,NaN
E02002871,E02002893,39,0,0,0,7,0,0,27,2,2,1,0,5144.521545683764,0.024661200888971082
E02002871,E02002895,55,0,8,0,17,0,0,26,2,1,0,1,5638.634387985025,0.02551536811520037
E02002871,E02002896,66,0,0,1,16,1,3,38,2,3,1,1,7598.281261327901,0.02353770792165308
E02002871,E02002898,155,0,1,0,37,0,1,90,12,13,1,0,6635.2594978465495,0.013531018117393047
E02002871,E02002899,30,0,1,0,13,0,0,13,0,2,1,0,8378.526665906003,0.021604174960556208
E02002871,E02006834,12,0,0,0,1,0,0,10,0,0,1,0,2573.260187652021,0.0288123573842535
E02002871,E02006835,24,0,0,0,5,1,0,12,0,1,5,0,2669.512637852162,0.021077988281678433
E02002871,E02006904,291,0,40,11,123,2,2,86,9,7,7,4,7188.212800647094,0.020785554628994205
E02002871,E02006905,97,0,2,3,22,0,0,57,8,2,3,0,7926.352861216191,0.02343200292061623
E02002872,E02002868,31,0,0,0,7,0,0,15,0,3,6,0,3436.693862227955,0.035568835224954756
E02002872,E02002869,300,0,7,2,32,2,1,88,18,9,140,1,1648.0462015378037,0.020447465050854798
E02002872,E02002871,55,0,1,0,10,1,1,19,2,3,18,0,2155.239024569334,0.015404026412311127
E02002872,E02002872,236,0,3,0,19,2,5,82,6,18,101,0,0,0.017282077664096607
E02002872,E02002874,116,0,1,0,44,0,1,57,10,1,2,0,5225.628769058558,0.023105503713104186
E02002872,E02002875,48,0,2,0,7,0,1,23,8,0,7,0,2993.81377040487,0.025384686575516714
E02002872,E02002876,60,0,2,0,10,0,0,35,4,1,8,0,2880.532258959577,0.02011518365038314
E02002872,E02002877,17,0,0,0,6,0,0,11,0,0,0,0,5470.472612626742,0.017354840705482506
E02002872,E02002879,58,0,2,0,18,1,2,25,7,0,3,0,4184.289231316865,0.022339985442405546
E02002872,E02002881,41,0,0,0,0,0,0,34,5,1,1,0,4107.237165530806,0.027811619133329444
E02002872,E02002882,20,0,0,0,8,0,0,11,0,0,1,0,5907.401795147373,0.01688346131374607
E02002872,E02002884,46,0,0,0,11,0,0,30,1,0,4,0,4971.903265760674,0.020437996646235447
E02002872,E02002885,50,0,16,2,5,0,0,22,2,0,2,1,4877.924562493437,0.02298098565572847
E02002872,E02002886,40,0,0,0,13,0,0,23,3,0,1,0,5084.126528768095,0.026309369595593872
E02002872,E02002887,48,0,0,0,14,0,0,26,2,3,3,0,5490.680007155691,0.025608786672194645
E02002872,E02002889,54,0,16,0,21,0,0,11,4,0,2,0,6027.616925252887,0.02682532247225126
E02002872,E02002890,81,0,8,1,33,0,1,31,1,2,2,2,6996.199987298427,0.02018611696505666
E02002872,E02002891,11,0,0,0,2,0,0,8,1,0,0,0,9065.779024510688,0.04200394782005257
E02002872,E02002892,35,0,0,0,4,0,0,26,0,2,3,0,5959.725643809959,0.038363868158541994
E02002872,E02002893,39,0,6,0,15,0,0,15,2,1,0,0,6041.0851918726075,0.02203652582481361
E02002872,E02002895,54,0,9,0,24,0,0,16,3,1,0,1,6535.19803417387,0.015317756273174393
E02002872,E02002896,48,0,0,0,16,2,0,27,0,1,2,0,8464.554789820702,0.018380541933315748
E02002872,E02002898,121,0,2,0,25,0,1,73,14,5,1,0,7531.823144035392,0.01696203534617925
E02002872,E02002899,30,0,1,0,6,0,0,21,0,1,1,0,9030.347000729213,0.02122964327419255
E02002872,E02006834,14,0,1,0,0,0,0,11,1,0,1,0,4212.760934423888,0.029470605342097316
E02002872,E02006904,259,0,64,4,85,3,2,82,5,7,6,1,8084.776446835936,0.024587260654258935
E02002872,E02006905,86,0,7,2,15,0,0,51,5,1,4,1,8822.91650740503,NaN
E02002873,E02002868,64,0,0,1,9,0,0,20,5,0,29,0,2592.7145638717375,0.027474189746998036
E02002873,E02002869,77,0,0,0,31,0,1,31,7,0,7,0,3116.917678899252,0.020105558837480438
E02002873,E02002871,31,0,0,0,3,0,0,12,3,1,12,0,1654.949740866838,0.020617521903722142
E02002873,E02002872,50,0,1,0,15,0,0,21,8,4,1,0,3675.242125522489,0.023735408311674932
E02002873,E02002873,96,0,1,0,12,1,0,31,3,2,46,0,0,0.018890068831968945
E02002873,E02002874,269,0,0,0,31,1,0,73,15,6,143,0,1744.2224227681465,0.02009388183256192
E02002873,E02002875,51,0,0,1,4,1,0,27,2,4,12,0,1298.1435526094785,0.018666194967204203
E02002873,E02002876,19,0,0,0,1,0,0,12,0,1,5,0,2504.597691479769,0.02392067902167981
E02002873,E02002877,50,0,1,0,14,2,0,19,7,0,7,0,3047.3351151924267,0.028208403533832596
E02002873,E02002879,56,0,0,0,12,2,0,32,5,1,4,0,2903.2642192297644,0.02154596641261415
E02002873,E02002881,27,0,0,0,3,0,0,19,3,1,1,0,5578.1843064579,0.01591206756422421
E02002873,E02002882,36,0,0,0,21,0,0,10,4,0,1,0,3931.6439195971934,0.01908881017966512
E02002873,E02002883,17,0,0,0,4,0,1,12,0,0,0,0,5239.142932890196,0.02284966336568118
E02002873,E02002884,49,0,0,0,19,0,1,27,1,0,1,0,3869.3323959966615,0.025553703873053783
E02002873,E02002885,31,0,1,0,6,0,0,22,1,0,1,0,3941.891317161459,0.018391759754490766
E02002873,E02002886,24,0,0,0,7,0,0,14,1,2,0,0,4399.275925502346,0.017215143376931683
E02002873,E02002887,30,0,0,0,5,0,0,21,2,0,2,0,6147.834185904335,0.02124231139131999
E02002873,E02002888,13,0,0,0,2,0,0,8,2,1,0,0,5513.561915665317,0.02770320188932297
E02002873,E02002889,94,0,8,0,46,2,0,29,1,1,6,1,5091.58367992091,0.01791061787841896
E02002873,E02002890,140,0,0,1,85,2,1,37,5,5,4,0,5381.651476346711,0.021239641830404523
E02002873,E02002892,26,0,0,0,8,0,0,14,1,1,2,0,7286.053513477854,0.024214762386216827
E02002873,E02002893,34,0,0,0,14,1,0,15,0,1,3,0,5105.0519465406305,0.026249889842153134
E02002873,E02002895,74,0,1,0,43,0,0,20,3,3,4,0,5599.164788841891,0.02514099781744306
E02002873,E02002896,83,0,0,0,33,1,2,42,4,0,1,0,6793.132199560823,0.02627012534972515
E02002873,E02002898,190,0,0,0,66,1,0,94,12,11,5,1,6595.789898703415,0.0207286158057442
E02002873,E02002899,30,0,0,0,8,0,1,18,1,1,1,0,8345.496397463461,0.03328009931752554
E02002873,E02006834,50,0,0,0,5,0,0,15,1,1,26,2,1895.7861713266116,0.027956848496494196
E02002873,E02006835,24,0,0,0,7,0,0,11,1,1,4,0,2838.887899467046,0.039658639579908575
E02002873,E02006904,317,0,11,0,182,0,3,84,19,5,12,1,6415.465593493645,0.028266371055729198
E02002873,E02006905,79,0,0,0,36,0,2,35,4,0,2,0,7886.883262073056,0.0335507096624196
E02002874,E02002868,23,0,0,0,14,0,0,9,0,0,0,0,3473.2976250173397,0.020088719328066842
E02002874,E02002869,15,0,1,0,1,0,0,12,1,0,0,0,4554.298863908151,0.024931061757843227
E02002874,E02002871,15,0,0,0,4,0,0,9,0,1,1,0,3092.330925875736,0.025228236868072018
E02002874,E02002872,22,0,1,0,6,0,0,11,2,1,1,0,5225.628769058557,0.02551536811520037
E02002874,E02002873,13,0,0,0,3,0,0,6,1,0,3,0,1744.2224227681463,0.027474189746998036
E02002874,E02002874,332,0,1,1,18,3,3,76,7,4,219,0,0,NaN
E02002874,E02002876,14,0,0,0,3,0,0,9,0,0,2,0,3363.7127337119455,0.032360388822022405
E02002874,E02002877,84,0,0,0,7,1,4,34,5,2,31,0,1437.3964028933683,0.031035808956048485
E02002874,E02002879,53,0,0,0,8,0,0,25,6,2,12,0,2182.3522869676945,0.029311616524910995
E02002874,E02002881,24,0,0,0,2,0,0,20,1,0,1,0,6250.431061293143,0.03404627771141585
E02002874,E02002882,28,0,0,0,6,0,0,16,4,0,2,0,3035.1340394856998,0.032707369804911075
E02002874,E02002883,19,0,0,0,5,0,0,10,0,0,4,0,3494.920510122053,0.02441933863924432
E02002874,E02002884,52,0,1,0,18,0,0,25,3,0,5,0,2727.747547455708,0.039835785270967254
E02002874,E02002885,46,0,0,0,9,1,0,31,2,1,2,0,3757.1028455366236,0.04110506419700016
E02002874,E02002886,24,0,0,0,5,0,0,15,0,2,2,0,4214.48745387751,0.02899479343792573
E02002874,E02002887,17,0,0,0,4,0,0,12,0,0,1,0,6415.358882405804,0.022172899541582494
E02002874,E02002888,15,0,0,1,3,1,0,9,0,0,1,0,3769.339492897169,0.020868610573889647
E02002874,E02002889,103,0,0,0,46,0,1,42,7,3,4,0,4148.754084707002,0.02899499262124583
E02002874,E02002890,122,0,0,0,63,1,0,37,7,1,13,0,4485.141596235216,0.040898573824906914
E02002874,E02002892,15,0,0,0,3,0,0,10,0,1,1,0,7863.842557803175,0.0243695334617432
E02002874,E02002893,32,0,0,0,17,0,0,14,0,0,1,0,4920.263474915795,0.022297887198985154
E02002874,E02002895,86,0,0,0,47,0,0,22,6,5,6,0,5136.546868758768,0.02655459350653761
E02002874,E02002896,56,0,1,0,16,1,1,29,5,0,3,0,5665.874007381078,0.046073921531418635
E02002874,E02002898,150,0,1,0,66,0,2,59,7,10,5,0,6411.00142707858,0.020895970755107237
E02002874,E02002899,41,0,0,0,14,0,1,20,0,3,3,0,8160.707925838633,0.02236031636245815
E02002874,E02006834,14,0,0,0,1,1,0,8,1,0,3,0,2220.93979023068,0.02155203516292308
E02002874,E02006904,272,0,11,1,150,3,1,58,12,14,22,0,5518.955713382153,0.022467576739611052
E02002874,E02006905,79,0,1,0,24,0,0,39,10,2,2,1,6317.396254989174,0.03206460507642281
E02002875,E02002868,29,0,0,0,5,0,0,14,0,1,9,0,3219.24563063564,0.03066980857470822
E02002875,E02002869,85,0,4,0,19,2,0,39,5,0,16,0,2960.2207972274264,0.023776767331799533
E02002875,E02002871,44,0,0,0,8,0,0,14,1,2,19,0,1472.8351057690077,0.04725742341813072
E02002875,E02002872,73,0,8,0,16,0,1,31,7,5,5,0,2993.8137704048713,0.044217306939380294
E02002875,E02002873,11,0,0,0,0,0,0,5,1,0,5,0,1298.1435526094788,0.027863662621343554
E02002875,E02002874,204,0,3,0,17,0,1,63,11,1,108,0,2231.8149986536887,0.017655553658231463
E02002875,E02002875,127,0,1,0,12,0,1,38,2,3,70,0,0,0.02278475653964582
E02002875,E02002876,84,0,3,0,9,2,0,33,10,5,22,0,1206.4541388702908,0.019327118031387498
E02002875,E02002877,39,0,1,0,7,0,0,26,1,1,3,0,2702.8587948550553,0.026754862814511473
E02002875,E02002879,83,0,1,0,14,0,1,47,3,0,17,0,1720.1308116984778,0.024051321906496365
E02002875,E02002881,28,0,0,0,0,0,0,24,3,0,1,0,4280.040753848421,0.0236508762110728
E02002875,E02002882,26,0,0,0,8,0,0,15,1,1,1,0,3568.293160885563,0.020105558837480438
E02002875,E02002883,14,0,0,0,1,0,0,12,0,0,1,0,5364.2270519142385,0.032360388822022405
E02002875,E02002884,65,0,1,0,11,0,1,42,1,1,8,0,2632.7946314988644,NaN
E02002875,E02002885,52,0,4,0,9,1,0,29,4,0,5,0,2705.3535526636665,0.019208937089160792
E02002875,E02002886,38,0,0,0,1,0,1,22,3,2,9,0,3162.738161004553,0.020286151718131768
E02002875,E02002887,38,0,0,0,5,0,1,24,4,1,3,0,4849.6906332948565,0.03603672039152879
E02002875,E02002888,11,0,0,0,3,0,0,7,1,0,0,0,5049.523538406125,0.02977730906618235
E02002875,E02002889,85,0,34,0,20,0,0,26,2,1,0,2,3855.0459154231166,0.018280534515141573
E02002875,E02002890,138,0,10,0,74,0,0,35,4,4,10,1,4657.091353036615,0.03604014708439885
E02002875,E02002892,33,0,0,0,3,0,0,20,6,4,0,0,5987.909960868375,0.04539831650315628
E02002875,E02002893,52,0,6,0,10,0,0,32,0,1,3,0,3868.514182042838,0.03282099121582235
E02002875,E02002895,87,0,27,0,25,0,0,25,5,2,3,0,4362.627024344101,0.016374922835607594
E02002875,E02002896,56,0,1,0,17,0,0,35,0,2,1,0,6125.446155558888,0.015653016008669935
E02002875,E02002898,168,0,2,0,60,0,4,74,16,8,3,1,5359.252134205624,0.03137179926001867
E02002875,E02002899,42,0,3,0,11,0,0,24,0,3,0,1,7108.958632965672,0.038549887230592245
E02002875,E02006834,14,0,0,0,4,0,0,10,0,0,0,0,3005.7555731400103,0.015190647334689101
E02002875,E02006835,17,0,2,0,4,0,0,9,1,0,1,0,3813.6429737532785,0.01785744975142936
E02002875,E02006904,292,0,85,0,101,0,2,68,10,4,16,6,5612.117979934383,0.03330706292790547
E02002875,E02006905,77,0,6,0,13,0,0,52,6,0,0,0,6650.345497575264,0.050241908422890204
E02002876,E02002868,11,0,0,0,1,0,0,10,0,0,0,0,4200.496050474578,0.017275943589069052
E02002876,E02002869,77,0,6,0,12,0,1,42,2,6,8,0,3379.4209031210285,0.019675281658111367
E02002876,E02002871,30,0,1,0,2,1,0,14,5,0,7,0,2454.0855256079462,0.027487709172623116
E02002876,E02002872,56,0,1,0,12,0,0,23,4,3,12,1,2880.532258959578,0.026536530382847402
E02002876,E02002874,101,0,1,0,21,3,0,53,7,3,13,0,3363.7127337119464,0.03398727838995798
