Area of residence,Area of workplace,potential_demand
E02002878,E02002886,6
E02002878,E02002887,13
E02002878,E02002888,2
E02002878,E02002889,13
E02002878,E02002890,14
E02002878,E02002892,12
E02002878,E02002893,12
E02002878,E02002894,3
E02002878,E02002895,7
E02002878,E02002896,7
E02002878,E02002898,27
E02002878,E02002899,5
E02002878,E02006904,30
E02002878,E02006905,10
E02002879,E02002868,2
E02002879,E02002869,8
E02002879,E02002871,5
E02002879,E02002872,12
E02002879,E02002874,21
E02002879,E02002875,5
E02002879,E02002876,8
E02002879,E02002877,9
E02002879,E02002879,5
E02002879,E02002881,9
E02002879,E02002882,5
E02002879,E02002883,5
E02002879,E02002884,9
E02002879,E02002885,14
E02002879,E02002886,9
E02002879,E02002887,4
E02002879,E02002888,6
E02002879,E02002889,35
E02002879,E02002890,43
E02002879,E02002892,5
E02002879,E02002893,10
E02002879,E02002894,2
E02002879,E02002895,22
E02002879,E02002896,17
E02002879,E02002898,39
E02002879,E02002899,8
E02002879,E02006834,3
E02002879,E02006835,3
E02002879,E02006904,91
E02002879,E02006905,20
E02002880,E02002868,2
E02002880,E02002869,13
E02002880,E02002871,2
E02002880,E02002872,12
E02002880,E02002874,13
E02002880,E02002875,6
E02002880,E02002876,9
E02002880,E02002877,4
E02002880,E02002878,6
E02002880,E02002879,7
E02002880,E02002880,5
E02002880,E02002881,6
E02002880,E02002884,7
E02002880,E02002885,9
E02002880,E02002886,10
E02002880,E02002887,19
E02002880,E02002888,2
E02002880,E02002889,16
E02002880,E02002890,24
E02002880,E02002892,8
E02002880,E02002893,8
E02002880,E02002895,10
E02002880,E02002896,9
E02002880,E02002898,32
E02002880,E02002899,7
E02002880,E02006904,37
E02002880,E02006905,17
E02002881,E02002869,10
E02002881,E02002871,2
E02002881,E02002872,6
E02002881,E02002874,5
E02002881,E02002875,3
E02002881,E02002876,3
E02002881,E02002877,2
E02002881,E02002878,2
E02002881,E02002879,3
E02002881,E02002881,2
E02002881,E02002884,5
E02002881,E02002885,9
E02002881,E02002886,7
E02002881,E02002887,16
E02002881,E02002888,2
E02002881,E02002889,11
E02002881,E02002890,8
E02002881,E02002892,12
E02002881,E02002893,7
E02002881,E02002895,6
E02002881,E02002896,4
E02002881,E02002897,3
E02002881,E02002898,21
E02002881,E02002899,7
E02002881,E02006904,27
E02002881,E02006905,7
E02002882,E02002869,4
E02002882,E02002871,2
E02002882,E02002872,4
E02002882,E02002874,20
E02002882,E02002875,2
E02002882,E02002876,7
E02002882,E02002877,11
E02002882,E02002879,10
E02002882,E02002881,3
E02002882,E02002882,2
E02002882,E02002883,3
E02002882,E02002884,6
E02002882,E02002885,5
E02002882,E02002886,5
E02002882,E02002887,6
E02002882,E02002888,3
E02002882,E02002889,31
E02002882,E02002890,30
E02002882,E02002892,2
E02002882,E02002893,5
E02002882,E02002895,19
E02002882,E02002896,8
E02002882,E02002898,26
E02002882,E02002899,16
E02002882,E02006904,75
E02002882,E02006905,19
E02002883,E02002869,3
E02002883,E02002871,2
E02002883,E02002872,3
E02002883,E02002874,16
E02002883,E02002875,2
E02002883,E02002876,2
E02002883,E02002877,9
E02002883,E02002879,6
E02002883,E02002881,3
E02002883,E02002882,6
E02002883,E02002883,4
E02002883,E02002884,6
E02002883,E02002885,6
E02002883,E02002886,4
E02002883,E02002887,4
E02002883,E02002888,4
E02002883,E02002889,24
E02002883,E02002890,26
E02002883,E02002891,2
E02002883,E02002892,2
E02002883,E02002893,6
E02002883,E02002895,17
E02002883,E02002896,19
E02002883,E02002898,24
E02002883,E02002899,5
E02002883,E02006904,75
E02002883,E02006905,22
E02002884,E02002869,2
E02002884,E02002871,3
E02002884,E02002872,4
E02002884,E02002874,6
E02002884,E02002876,3
E02002884,E02002877,2
E02002884,E02002879,2
E02002884,E02002881,2
E02002884,E02002882,1
E02002884,E02002884,3
E02002884,E02002885,4
E02002884,E02002886,2
E02002884,E02002887,3
E02002884,E02002888,4
E02002884,E02002889,15
E02002884,E02002890,17
E02002884,E02002891,2
E02002884,E02002893,6
E02002884,E02002895,10
E02002884,E02002896,8
E02002884,E02002898,20
E02002884,E02002899,12
E02002884,E02006904,53
E02002884,E02006905,12
E02002885,E02002869,3
E02002885,E02002871,2
E02002885,E02002872,4
E02002885,E02002874,6
E02002885,E02002876,2
E02002885,E02002877,2
E02002885,E02002879,5
E02002885,E02002882,2
E02002885,E02002884,5
E02002885,E02002885,4
E02002885,E02002886,3
E02002885,E02002887,4
E02002885,E02002888,2
E02002885,E02002889,21
E02002885,E02002890,16
E02002885,E02002892,2
E02002885,E02002893,6
E02002885,E02002895,10
E02002885,E02002896,9
E02002885,E02002898,22
E02002885,E02002899,8
E02002885,E02006835,3
E02002885,E02006904,68
E02002885,E02006905,16
E02002886,E02002869,6
E02002886,E02002871,3
E02002886,E02002872,6
E02002886,E02002874,11
E02002886,E02002875,2
E02002886,E02002876,5
E02002886,E02002877,4
E02002886,E02002879,7
E02002886,E02002881,6
E02002886,E02002882,6
E02002886,E02002883,3
E02002886,E02002884,6
E02002886,E02002885,14
E02002886,E02002886,7
E02002886,E02002887,15
E02002886,E02002889,25
E02002886,E02002890,22
E02002886,E02002892,8
E02002886,E02002893,13
E02002886,E02002894,2
E02002886,E02002895,17
E02002886,E02002896,12
E02002886,E02002898,35
E02002886,E02002899,12
E02002886,E02006904,57
E02002886,E02006905,18
E02002887,E02002869,4
E02002887,E02002871,3
E02002887,E02002872,6
E02002887,E02002874,5
E02002887,E02002875,2
E02002887,E02002876,4
E02002887,E02002877,3
E02002887,E02002878,2
E02002887,E02002879,3
E02002887,E02002880,2
E02002887,E02002881,4
E02002887,E02002884,4
E02002887,E02002885,6
E02002887,E02002886,10
E02002887,E02002887,9
E02002887,E02002889,10
E02002887,E02002890,11
E02002887,E02002892,6
E02002887,E02002893,7
E02002887,E02002894,3
E02002887,E02002895,6
E02002887,E02002896,7
E02002887,E02002897,2
E02002887,E02002898,25
E02002887,E02002899,9
E02002887,E02006904,30
E02002887,E02006905,14
E02002888,E02002872,3
E02002888,E02002874,7
E02002888,E02002876,2
E02002888,E02002877,5
E02002888,E02002879,4
E02002888,E02002881,2
E02002888,E02002882,3
E02002888,E02002883,3
E02002888,E02002884,7
E02002888,E02002885,3
E02002888,E02002886,4
E02002888,E02002887,2
E02002888,E02002888,2
E02002888,E02002889,13
E02002888,E02002890,18
E02002888,E02002893,5
E02002888,E02002895,10
E02002888,E02002896,9
E02002888,E02002898,20
E02002888,E02002899,3
E02002888,E02006904,48
E02002888,E02006905,17
E02002889,E02002869,2
E02002889,E02002872,2
E02002889,E02002874,3
E02002889,E02002876,2
E02002889,E02002877,4
E02002889,E02002879,2
E02002889,E02002881,3
E02002889,E02002882,1
E02002889,E02002884,1
E02002889,E02002885,4
E02002889,E02002886,2
E02002889,E02002887,2
E02002889,E02002888,3
E02002889,E02002889,5
E02002889,E02002890,11
E02002889,E02002892,2
E02002889,E02002893,4
E02002889,E02002895,9
E02002889,E02002896,4
E02002889,E02002898,16
E02002889,E02002899,9
E02002889,E02006904,45
E02002889,E02006905,8
E02002890,E02002869,2
E02002890,E02002872,2
E02002890,E02002874,8
