Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02001337,E02006934,86,0,0,15,31,0,0,32,6,1,1,0,Liverpool,Liverpool
E02001338,E02001332,11,0,0,0,1,0,0,7,2,1,0,0,Liverpool,Liverpool
E02001338,E02001334,37,0,0,0,3,0,0,14,2,0,18,0,Liverpool,Liverpool
E02001338,E02001336,17,0,0,0,7,0,0,6,0,0,4,0,Liverpool,Liverpool
E02001338,E02001337,22,0,0,0,1,1,0,14,2,1,3,0,Liverpool,Liverpool
E02001338,E02001338,95,0,0,1,10,1,0,36,2,1,44,0,Liverpool,Liverpool
E02001338,E02001340,23,0,0,0,2,1,0,13,1,0,6,0,Liverpool,Liverpool
E02001338,E02001341,133,0,0,2,15,4,0,52,15,4,41,0,Liverpool,Liverpool
E02001338,E02001342,137,0,0,4,10,4,0,55,10,3,51,0,Liverpool,Liverpool
E02001338,E02001343,36,0,0,0,9,0,0,16,4,2,5,0,Liverpool,Liverpool
E02001338,E02001346,26,0,0,0,0,0,0,16,7,2,1,0,Liverpool,Liverpool
E02001338,E02001347,15,0,0,1,1,0,0,12,1,0,0,0,Liverpool,Liverpool
E02001338,E02001348,12,0,0,1,0,1,0,9,1,0,0,0,Liverpool,Liverpool
E02001338,E02001350,13,0,0,0,2,0,0,9,2,0,0,0,Liverpool,Liverpool
E02001338,E02001351,11,0,0,0,0,0,0,9,1,1,0,0,Liverpool,Liverpool
E02001338,E02001360,13,0,0,3,1,0,0,9,0,0,0,0,Liverpool,Liverpool
E02001338,E02001366,14,0,0,0,8,0,0,6,0,0,0,0,Liverpool,Liverpool
E02001338,E02001367,15,0,0,1,3,3,0,2,4,1,0,1,Liverpool,Liverpool
E02001338,E02001368,15,0,0,0,4,0,0,9,1,0,1,0,Liverpool,Liverpool
E02001338,E02001369,11,0,0,1,1,0,0,8,1,0,0,0,Liverpool,Liverpool
E02001338,E02001371,12,0,0,0,1,0,0,4,1,0,6,0,Liverpool,Liverpool
E02001338,E02001372,86,0,0,3,26,1,0,43,5,3,5,0,Liverpool,Liverpool
E02001338,E02001373,34,0,0,0,10,0,0,21,2,0,1,0,Liverpool,Liverpool
E02001338,E02001374,27,0,0,3,2,0,0,17,4,1,0,0,Liverpool,Liverpool
E02001338,E02001377,35,0,0,1,11,1,1,14,6,1,0,0,Liverpool,Liverpool
E02001338,E02001383,12,0,0,1,1,0,0,6,2,1,0,1,Liverpool,Liverpool
E02001338,E02001386,23,0,0,0,5,0,0,12,4,0,1,1,Liverpool,Liverpool
E02001338,E02001393,20,0,0,2,5,1,0,11,0,1,0,0,Liverpool,Liverpool
E02001338,E02001401,28,0,0,0,3,0,0,10,4,0,11,0,Liverpool,Liverpool
E02001338,E02006932,102,0,1,33,30,0,0,28,8,1,1,0,Liverpool,Liverpool
E02001338,E02006933,63,0,2,11,33,0,1,11,3,2,0,0,Liverpool,Liverpool
E02001338,E02006934,83,0,0,12,23,1,0,41,4,0,2,0,Liverpool,Liverpool
E02001340,E02001334,24,0,0,1,1,0,0,14,3,0,5,0,Liverpool,Liverpool
E02001340,E02001336,11,0,0,0,2,0,0,8,0,1,0,0,Liverpool,Liverpool
E02001340,E02001337,32,0,0,0,2,0,0,24,6,0,0,0,Liverpool,Liverpool
E02001340,E02001338,28,0,0,0,3,0,0,13,2,0,10,0,Liverpool,Liverpool
E02001340,E02001340,171,0,0,5,16,0,1,65,13,0,71,0,Liverpool,Liverpool
E02001340,E02001341,152,0,0,1,18,3,0,87,22,3,18,0,Liverpool,Liverpool
E02001340,E02001342,115,0,0,2,12,2,0,71,11,1,16,0,Liverpool,Liverpool
E02001340,E02001343,40,0,0,0,8,1,2,23,3,1,2,0,Liverpool,Liverpool
E02001340,E02001346,41,0,0,0,4,0,0,33,3,1,0,0,Liverpool,Liverpool
E02001340,E02001347,22,0,0,0,0,1,0,20,1,0,0,0,Liverpool,Liverpool
E02001340,E02001348,11,0,0,0,0,1,1,9,0,0,0,0,Liverpool,Liverpool
E02001340,E02001350,12,0,0,0,1,0,0,9,1,0,1,0,Liverpool,Liverpool
E02001340,E02001351,21,0,0,0,2,0,0,16,3,0,0,0,Liverpool,Liverpool
E02001340,E02001354,14,0,0,0,4,0,0,7,2,0,1,0,Liverpool,Liverpool
E02001340,E02001358,14,0,0,0,0,0,1,12,1,0,0,0,Liverpool,Liverpool
E02001340,E02001360,37,0,0,3,1,0,0,30,2,1,0,0,Liverpool,Liverpool
E02001340,E02001366,39,0,0,0,5,0,0,31,2,1,0,0,Liverpool,Liverpool
E02001340,E02001367,30,0,0,0,6,1,0,19,3,0,1,0,Liverpool,Liverpool
E02001340,E02001368,39,0,0,2,2,0,0,31,2,0,2,0,Liverpool,Liverpool
E02001340,E02001369,27,0,0,0,5,0,0,20,1,0,1,0,Liverpool,Liverpool
E02001340,E02001370,23,0,0,0,2,0,2,18,1,0,0,0,Liverpool,Liverpool
E02001340,E02001371,26,0,0,0,2,0,0,14,0,0,10,0,Liverpool,Liverpool
E02001340,E02001372,216,0,0,1,9,2,0,123,16,2,60,3,Liverpool,Liverpool
E02001340,E02001373,75,0,0,0,13,0,0,52,7,1,2,0,Liverpool,Liverpool
E02001340,E02001374,74,0,0,2,7,0,0,59,5,0,1,0,Liverpool,Liverpool
E02001340,E02001375,31,0,0,0,7,0,0,20,2,0,2,0,Liverpool,Liverpool
E02001340,E02001377,119,0,0,2,33,0,0,71,7,4,2,0,Liverpool,Liverpool
E02001340,E02001378,23,0,0,1,3,1,0,12,3,0,3,0,Liverpool,Liverpool
E02001340,E02001380,14,0,0,0,1,0,0,12,0,0,1,0,Liverpool,Liverpool
E02001340,E02001381,32,0,0,1,3,0,1,21,4,0,2,0,Liverpool,Liverpool
E02001340,E02001382,13,0,0,0,0,0,0,7,0,0,6,0,Liverpool,Liverpool
E02001340,E02001383,17,0,0,3,4,0,0,9,0,0,1,0,Liverpool,Liverpool
E02001340,E02001384,16,0,0,1,3,0,0,7,3,1,1,0,Liverpool,Liverpool
E02001340,E02001386,27,0,0,0,4,0,0,13,3,2,5,0,Liverpool,Liverpool
E02001340,E02001387,17,0,0,0,2,0,0,10,3,0,2,0,Liverpool,Liverpool
E02001340,E02001388,18,0,0,1,2,0,0,14,1,0,0,0,Liverpool,Liverpool
E02001340,E02001390,22,0,0,0,3,0,0,16,1,2,0,0,Liverpool,Liverpool
E02001340,E02001393,44,0,0,1,6,0,0,34,2,1,0,0,Liverpool,Liverpool
E02001340,E02001394,22,0,0,0,2,0,0,18,2,0,0,0,Liverpool,Liverpool
E02001340,E02001396,33,0,0,3,1,0,0,25,3,0,1,0,Liverpool,Liverpool
E02001340,E02001397,14,0,0,0,0,0,0,12,0,1,1,0,Liverpool,Liverpool
E02001340,E02001400,13,0,0,0,3,0,0,10,0,0,0,0,Liverpool,Liverpool
E02001340,E02001401,43,0,0,0,3,0,1,36,2,0,1,0,Liverpool,Liverpool
E02001340,E02001403,12,0,0,0,0,0,0,12,0,0,0,0,Liverpool,Liverpool
E02001340,E02006932,175,0,0,40,61,2,0,56,12,1,3,0,Liverpool,Liverpool
E02001340,E02006933,141,0,1,15,51,1,0,59,8,3,3,0,Liverpool,Liverpool
E02001340,E02006934,203,0,1,32,72,0,1,90,5,1,1,0,Liverpool,Liverpool
E02001341,E02001334,18,0,0,0,4,1,0,10,0,0,3,0,Liverpool,Liverpool
E02001341,E02001337,28,0,0,0,2,0,0,16,4,0,6,0,Liverpool,Liverpool
E02001341,E02001338,23,0,0,0,4,2,0,9,4,1,3,0,Liverpool,Liverpool
E02001341,E02001340,16,0,0,0,1,0,0,10,2,0,3,0,Liverpool,Liverpool
E02001341,E02001341,293,0,0,3,20,13,1,92,28,6,129,1,Liverpool,Liverpool
E02001341,E02001342,138,0,0,0,15,5,0,58,8,3,49,0,Liverpool,Liverpool
E02001341,E02001343,89,0,0,0,4,2,1,38,13,8,23,0,Liverpool,Liverpool
E02001341,E02001346,30,0,0,0,6,0,0,18,2,1,1,2,Liverpool,Liverpool
E02001341,E02001350,15,0,0,0,1,1,0,8,4,0,1,0,Liverpool,Liverpool
E02001341,E02001368,13,0,0,2,0,1,0,9,1,0,0,0,Liverpool,Liverpool
E02001341,E02001370,12,0,0,0,1,0,0,11,0,0,0,0,Liverpool,Liverpool
E02001341,E02001372,47,0,0,0,15,0,0,30,2,0,0,0,Liverpool,Liverpool
E02001341,E02001373,21,0,0,0,6,0,0,13,1,0,1,0,Liverpool,Liverpool
E02001341,E02001374,24,0,0,0,6,0,0,16,1,0,1,0,Liverpool,Liverpool
E02001341,E02001377,29,0,0,2,3,0,0,21,1,0,2,0,Liverpool,Liverpool
E02001341,E02001378,12,0,0,1,3,0,0,7,1,0,0,0,Liverpool,Liverpool
E02001341,E02001386,16,0,0,0,1,0,0,11,2,0,2,0,Liverpool,Liverpool
E02001341,E02001393,14,0,0,0,2,0,1,9,0,1,1,0,Liverpool,Liverpool
E02001341,E02001401,32,0,0,1,4,0,0,14,2,0,11,0,Liverpool,Liverpool
E02001341,E02006932,100,0,2,35,21,1,1,33,3,1,3,0,Liverpool,Liverpool
E02001341,E02006933,74,0,0,27,14,1,0,24,4,3,1,0,Liverpool,Liverpool
E02001341,E02006934,76,0,0,26,16,1,1,28,2,0,2,0,Liverpool,Liverpool
E02001342,E02001334,20,0,0,0,0,0,0,14,3,1,1,1,Liverpool,Liverpool
E02001342,E02001336,18,0,0,0,0,3,0,13,1,0,1,0,Liverpool,Liverpool
E02001342,E02001337,31,0,0,0,3,0,0,22,3,0,3,0,Liverpool,Liverpool
E02001342,E02001338,22,0,0,3,0,1,0,15,1,0,2,0,Liverpool,Liverpool
E02001342,E02001340,29,0,0,0,2,0,0,18,4,0,5,0,Liverpool,Liverpool
E02001342,E02001341,155,0,0,3,8,1,0,83,16,2,42,0,Liverpool,Liverpool
E02001342,E02001342,215,0,0,11,10,4,0,99,16,1,73,1,Liverpool,Liverpool
E02001342,E02001343,62,0,1,1,3,0,0,41,6,5,5,0,Liverpool,Liverpool
E02001342,E02001346,48,0,0,0,2,0,0,37,4,2,3,0,Liverpool,Liverpool
E02001342,E02001347,20,0,0,0,0,0,0,17,2,0,1,0,Liverpool,Liverpool
E02001342,E02001351,17,0,0,0,0,0,0,17,0,0,0,0,Liverpool,Liverpool
E02001342,E02001360,16,0,0,1,0,0,0,15,0,0,0,0,Liverpool,Liverpool
E02001342,E02001366,24,0,0,0,4,0,0,20,0,0,0,0,Liverpool,Liverpool
E02001342,E02001367,17,0,0,1,2,0,0,13,1,0,0,0,Liverpool,Liverpool
E02001342,E02001368,14,0,0,2,0,1,0,10,1,0,0,0,Liverpool,Liverpool
E02001342,E02001369,11,0,0,1,2,0,0,8,0,0,0,0,Liverpool,Liverpool
E02001342,E02001370,13,0,0,0,0,0,0,12,1,0,0,0,Liverpool,Liverpool
E02001342,E02001371,11,0,0,0,1,0,0,9,0,1,0,0,Liverpool,Liverpool
E02001342,E02001372,94,0,0,5,9,1,0,67,9,0,2,1,Liverpool,Liverpool
E02001342,E02001373,44,0,0,2,5,0,0,32,4,0,1,0,Liverpool,Liverpool
E02001342,E02001374,34,0,0,4,3,0,0,23,3,0,1,0,Liverpool,Liverpool
E02001342,E02001377,61,0,0,4,5,0,0,45,5,1,1,0,Liverpool,Liverpool
E02001342,E02001378,12,0,0,1,1,0,0,8,2,0,0,0,Liverpool,Liverpool
E02001342,E02001380,13,0,0,0,2,0,0,9,2,0,0,0,Liverpool,Liverpool
E02001342,E02001381,16,0,0,4,1,1,0,9,0,0,1,0,Liverpool,Liverpool
E02001342,E02001383,16,0,0,2,0,0,0,12,2,0,0,0,Liverpool,Liverpool
E02001342,E02001386,32,0,0,0,5,1,0,15,4,2,5,0,Liverpool,Liverpool
E02001342,E02001387,14,0,0,0,2,0,0,10,0,1,1,0,Liverpool,Liverpool
E02001342,E02001388,12,0,0,1,5,0,0,6,0,0,0,0,Liverpool,Liverpool
E02001342,E02001393,26,0,0,5,2,0,0,12,6,0,1,0,Liverpool,Liverpool
E02001342,E02001394,14,0,0,0,2,0,1,9,2,0,0,0,Liverpool,Liverpool
E02001342,E02001401,29,0,0,0,3,0,1,20,4,0,1,0,Liverpool,Liverpool
E02001342,E02001402,12,0,0,0,0,0,0,10,2,0,0,0,Liverpool,Liverpool
E02001342,E02006932,157,0,0,54,17,0,1,77,4,3,1,0,Liverpool,Liverpool
E02001342,E02006933,104,0,1,34,10,2,2,50,3,1,0,1,Liverpool,Liverpool
E02001342,E02006934,156,0,3,56,22,0,0,62,8,2,2,1,Liverpool,Liverpool
E02001343,E02001334,12,0,0,0,0,0,0,9,3,0,0,0,Liverpool,Liverpool
E02001343,E02001337,20,0,0,0,1,0,0,15,3,0,1,0,Liverpool,Liverpool
E02001343,E02001338,14,0,0,0,1,0,0,11,0,0,1,1,Liverpool,Liverpool
E02001343,E02001340,11,0,0,0,0,0,0,10,1,0,0,0,Liverpool,Liverpool
E02001343,E02001341,107,0,0,0,6,0,0,78,8,3,12,0,Liverpool,Liverpool
E02001343,E02001342,61,0,0,0,3,0,0,41,11,0,6,0,Liverpool,Liverpool
E02001343,E02001343,131,0,0,1,1,0,0,73,8,4,44,0,Liverpool,Liverpool
E02001343,E02001345,15,0,0,0,0,0,0,13,2,0,0,0,Liverpool,Liverpool
E02001343,E02001346,54,0,0,1,1,0,0,41,6,4,1,0,Liverpool,Liverpool
E02001343,E02001347,25,0,0,1,0,0,0,19,1,1,1,2,Liverpool,Liverpool
E02001343,E02001351,12,0,0,0,1,0,0,9,1,0,0,1,Liverpool,Liverpool
E02001343,E02001360,13,0,0,1,0,0,0,11,1,0,0,0,Liverpool,Liverpool
E02001343,E02001368,16,0,0,1,4,0,0,11,0,0,0,0,Liverpool,Liverpool
E02001343,E02001369,14,0,0,0,0,0,0,14,0,0,0,0,Liverpool,Liverpool
E02001343,E02001370,11,0,0,0,1,1,0,7,1,1,0,0,Liverpool,Liverpool
E02001343,E02001372,63,0,0,0,4,0,0,55,3,0,0,1,Liverpool,Liverpool
E02001343,E02001373,19,0,0,0,1,0,0,17,1,0,0,0,Liverpool,Liverpool
E02001343,E02001374,22,0,0,2,2,0,0,18,0,0,0,0,Liverpool,Liverpool
E02001343,E02001377,56,0,0,2,4,0,0,46,4,0,0,0,Liverpool,Liverpool
E02001343,E02001381,20,0,0,0,0,0,0,19,1,0,0,0,Liverpool,Liverpool
E02001343,E02001386,19,0,0,0,4,1,0,13,1,0,0,0,Liverpool,Liverpool
E02001343,E02001387,17,0,0,0,1,0,0,15,1,0,0,0,Liverpool,Liverpool
E02001343,E02001388,14,0,0,1,1,0,0,12,0,0,0,0,Liverpool,Liverpool
E02001343,E02001391,11,0,0,0,0,0,0,10,1,0,0,0,Liverpool,Liverpool
E02001343,E02001393,27,0,0,0,2,0,0,21,3,1,0,0,Liverpool,Liverpool
E02001343,E02001394,18,0,0,0,4,0,0,13,1,0,0,0,Liverpool,Liverpool
E02001343,E02001395,14,0,0,2,1,0,0,10,1,0,0,0,Liverpool,Liverpool
E02001343,E02001396,13,0,0,1,0,0,0,10,2,0,0,0,Liverpool,Liverpool
E02001343,E02001397,22,0,0,0,0,0,0,19,2,1,0,0,Liverpool,Liverpool
E02001343,E02001401,50,0,0,1,6,0,3,29,5,3,3,0,Liverpool,Liverpool
E02001343,E02001403,11,0,0,0,0,0,0,10,1,0,0,0,Liverpool,Liverpool
E02001343,E02001405,16,0,0,1,2,1,0,12,0,0,0,0,Liverpool,Liverpool
E02001343,E02006932,106,0,1,26,16,0,1,57,3,1,1,0,Liverpool,Liverpool
E02001343,E02006933,96,0,0,20,13,0,0,50,5,6,2,0,Liverpool,Liverpool
E02001343,E02006934,119,0,5,32,8,2,1,58,13,0,0,0,Liverpool,Liverpool
E02001344,E02001341,31,0,0,0,2,2,0,22,4,1,0,0,Liverpool,Liverpool
E02001344,E02001342,15,0,0,0,4,0,0,7,2,0,2,0,Liverpool,Liverpool
E02001344,E02001343,24,0,0,0,3,0,0,17,1,1,2,0,Liverpool,Liverpool
E02001344,E02001344,69,0,0,1,4,1,0,24,6,0,32,1,Liverpool,Liverpool
E02001344,E02001345,26,0,0,0,4,0,0,17,0,2,3,0,Liverpool,Liverpool
E02001344,E02001346,86,0,0,2,7,1,0,53,7,7,9,0,Liverpool,Liverpool
E02001344,E02001347,15,0,0,2,0,0,0,12,1,0,0,0,Liverpool,Liverpool
E02001344,E02001360,16,0,0,1,1,0,1,13,0,0,0,0,Liverpool,Liverpool
E02001344,E02001368,14,0,0,0,0,0,0,14,0,0,0,0,Liverpool,Liverpool
E02001344,E02001372,32,0,0,0,2,1,0,24,5,0,0,0,Liverpool,Liverpool
E02001344,E02001373,14,0,0,0,2,0,0,12,0,0,0,0,Liverpool,Liverpool
E02001344,E02001374,16,0,0,0,1,0,0,14,1,0,0,0,Liverpool,Liverpool
E02001344,E02001377,54,0,2,4,2,0,0,40,2,1,3,0,Liverpool,Liverpool
E02001344,E02001381,18,0,0,2,1,2,0,12,1,0,0,0,Liverpool,Liverpool
E02001344,E02001383,11,0,0,1,2,0,0,8,0,0,0,0,Liverpool,Liverpool
E02001344,E02001386,52,0,0,1,19,0,0,25,2,0,5,0,Liverpool,Liverpool
E02001344,E02001387,18,0,0,0,7,1,0,9,1,0,0,0,Liverpool,Liverpool
E02001344,E02001388,12,0,0,0,1,0,0,11,0,0,0,0,Liverpool,Liverpool
E02001344,E02001390,12,0,1,1,1,0,0,9,0,0,0,0,Liverpool,Liverpool
E02001344,E02001391,14,0,0,1,0,0,0,9,1,2,1,0,Liverpool,Liverpool
E02001344,E02001392,20,0,0,0,1,1,0,15,3,0,0,0,Liverpool,Liverpool
E02001344,E02001393,44,0,0,0,8,2,0,32,2,0,0,0,Liverpool,Liverpool
E02001344,E02001394,15,0,0,0,3,0,0,11,1,0,0,0,Liverpool,Liverpool
