Area of residence,Area of workplace,potential_demand
E02001332,E02001332,32
E02001332,E02001334,7
E02001332,E02001336,7
E02001332,E02001337,8
E02001332,E02001338,9
E02001332,E02001341,27
E02001332,E02001342,24
E02001332,E02001343,12
E02001332,E02001346,0
E02001332,E02001347,0
E02001332,E02001350,12
E02001332,E02001354,0
E02001332,E02001359,5
E02001332,E02001360,0
E02001332,E02001363,5
E02001332,E02001366,0
E02001332,E02001367,12
E02001332,E02001368,0
E02001332,E02001370,1
E02001332,E02001371,4
E02001332,E02001372,29
E02001332,E02001373,0
E02001332,E02001374,0
E02001332,E02001375,6
E02001332,E02001377,0
E02001332,E02001393,0
E02001332,E02001396,0
E02001332,E02001401,0
E02001332,E02001405,0
E02001332,E02006932,1
E02001332,E02006933,1
E02001332,E02006934,0
E02001334,E02001332,7
E02001334,E02001334,12
E02001334,E02001336,6
E02001334,E02001337,5
E02001334,E02001338,5
E02001334,E02001340,5
E02001334,E02001341,39
E02001334,E02001342,20
E02001334,E02001343,18
E02001334,E02001347,0
E02001334,E02001350,11
E02001334,E02001363,4
E02001334,E02001371,6
E02001334,E02001372,26
E02001334,E02001373,4
E02001334,E02001374,1
E02001334,E02001375,3
E02001334,E02001377,0
E02001334,E02001394,0
E02001334,E02001401,0
E02001334,E02006932,0
E02001334,E02006933,0
E02001334,E02006934,1
E02001336,E02001332,4
E02001336,E02001334,4
E02001336,E02001336,24
E02001336,E02001337,5
E02001336,E02001338,7
E02001336,E02001341,36
E02001336,E02001342,24
E02001336,E02001343,14
E02001336,E02001346,3
E02001336,E02001350,6
E02001336,E02001360,0
E02001336,E02001367,4
E02001336,E02001368,0
E02001336,E02001372,14
E02001336,E02001373,0
E02001336,E02001374,0
E02001336,E02001377,0
E02001336,E02001383,0
E02001336,E02001401,4
E02001336,E02006932,1
E02001336,E02006933,0
E02001336,E02006934,0
E02001337,E02001332,5
E02001337,E02001334,9
E02001337,E02001336,12
E02001337,E02001337,32
E02001337,E02001338,6
E02001337,E02001340,4
E02001337,E02001341,52
E02001337,E02001342,43
E02001337,E02001343,24
E02001337,E02001346,0
E02001337,E02001347,0
E02001337,E02001350,0
E02001337,E02001354,1
E02001337,E02001368,0
E02001337,E02001372,24
E02001337,E02001373,0
E02001337,E02001374,1
E02001337,E02001377,0
E02001337,E02001383,0
E02001337,E02001393,0
E02001337,E02001401,0
E02001337,E02006932,0
E02001337,E02006933,0
E02001337,E02006934,1
E02001338,E02001332,6
E02001338,E02001334,9
E02001338,E02001336,4
E02001338,E02001337,10
E02001338,E02001338,23
E02001338,E02001340,8
E02001338,E02001341,43
E02001338,E02001342,40
E02001338,E02001343,14
E02001338,E02001346,2
E02001338,E02001347,0
E02001338,E02001348,0
E02001338,E02001350,6
E02001338,E02001351,1
E02001338,E02001360,0
E02001338,E02001366,0
E02001338,E02001367,7
E02001338,E02001368,0
E02001338,E02001369,0
E02001338,E02001371,3
E02001338,E02001372,33
E02001338,E02001373,14
E02001338,E02001374,1
E02001338,E02001377,1
E02001338,E02001383,1
E02001338,E02001386,10
E02001338,E02001393,8
E02001338,E02001401,0
E02001338,E02006932,1
E02001338,E02006933,2
E02001338,E02006934,0
E02001340,E02001334,9
E02001340,E02001336,5
E02001340,E02001337,15
E02001340,E02001338,8
E02001340,E02001340,44
E02001340,E02001341,63
E02001340,E02001342,46
E02001340,E02001343,17
E02001340,E02001346,1
E02001340,E02001347,0
E02001340,E02001348,0
E02001340,E02001350,0
E02001340,E02001351,0
E02001340,E02001354,0
E02001340,E02001358,0
E02001340,E02001360,1
E02001340,E02001366,18
E02001340,E02001367,13
E02001340,E02001368,0
E02001340,E02001369,0
E02001340,E02001370,0
E02001340,E02001371,7
E02001340,E02001372,76
E02001340,E02001373,33
E02001340,E02001374,34
E02001340,E02001375,12
E02001340,E02001377,4
E02001340,E02001378,9
E02001340,E02001380,6
E02001340,E02001381,14
E02001340,E02001382,4
E02001340,E02001383,0
E02001340,E02001384,7
E02001340,E02001386,11
E02001340,E02001387,7
E02001340,E02001388,8
E02001340,E02001390,2
E02001340,E02001393,20
E02001340,E02001394,10
E02001340,E02001396,0
E02001340,E02001397,7
E02001340,E02001400,0
E02001340,E02001401,0
E02001340,E02001403,0
E02001340,E02006932,1
E02001340,E02006933,3
E02001340,E02006934,1
E02001341,E02001334,6
E02001341,E02001337,10
E02001341,E02001338,9
E02001341,E02001340,6
E02001341,E02001341,78
E02001341,E02001342,42
E02001341,E02001343,36
E02001341,E02001346,13
E02001341,E02001350,0
E02001341,E02001368,0
E02001341,E02001370,0
E02001341,E02001372,19
E02001341,E02001373,0
E02001341,E02001374,0
E02001341,E02001377,0
E02001341,E02001378,0
E02001341,E02001386,7
E02001341,E02001393,6
E02001341,E02001401,9
E02001341,E02006932,1
E02001341,E02006933,3
E02001341,E02006934,0
E02001342,E02001334,10
E02001342,E02001336,8
E02001342,E02001337,13
E02001342,E02001338,9
E02001342,E02001340,11
E02001342,E02001341,54
E02001342,E02001342,65
E02001342,E02001343,30
E02001342,E02001346,2
E02001342,E02001347,0
E02001342,E02001351,0
E02001342,E02001360,0
E02001342,E02001366,0
E02001342,E02001367,8
E02001342,E02001368,0
E02001342,E02001369,0
E02001342,E02001370,0
E02001342,E02001371,6
E02001342,E02001372,42
E02001342,E02001373,19
E02001342,E02001374,0
E02001342,E02001377,1
E02001342,E02001378,5
E02001342,E02001380,6
E02001342,E02001381,0
E02001342,E02001383,0
E02001342,E02001386,13
E02001342,E02001387,6
E02001342,E02001388,0
E02001342,E02001393,10
E02001342,E02001394,0
E02001342,E02001401,13
E02001342,E02001402,0
E02001342,E02006932,3
E02001342,E02006933,1
E02001342,E02006934,2
E02001343,E02001334,6
E02001343,E02001337,9
E02001343,E02001338,6
E02001343,E02001340,6
E02001343,E02001341,47
E02001343,E02001342,27
E02001343,E02001343,45
E02001343,E02001345,8
E02001343,E02001346,28
E02001343,E02001347,1
E02001343,E02001351,0
E02001343,E02001360,0
E02001343,E02001368,0
E02001343,E02001369,0
E02001343,E02001370,1
E02001343,E02001372,0
E02001343,E02001373,0
E02001343,E02001374,0
E02001343,E02001377,0
E02001343,E02001381,0
E02001343,E02001386,8
E02001343,E02001387,0
E02001343,E02001388,0
E02001343,E02001391,6
E02001343,E02001393,1
E02001343,E02001394,0
E02001343,E02001395,0
E02001343,E02001396,0
E02001343,E02001397,12
E02001343,E02001401,3
E02001343,E02001403,0
E02001343,E02001405,0
E02001343,E02006932,1
E02001343,E02006933,6
E02001343,E02006934,0
E02001344,E02001341,15
E02001344,E02001342,5
E02001344,E02001343,11
E02001344,E02001344,17
E02001344,E02001345,11
E02001344,E02001346,39
E02001344,E02001347,0
E02001344,E02001360,0
E02001344,E02001368,0
E02001344,E02001372,0
E02001344,E02001373,0
E02001344,E02001374,0
E02001344,E02001377,1
E02001344,E02001381,0
E02001344,E02001383,0
E02001344,E02001386,18
E02001344,E02001387,7
E02001344,E02001388,6
E02001344,E02001390,0
E02001344,E02001391,7
E02001344,E02001392,10
E02001344,E02001393,20
E02001344,E02001394,0
E02001344,E02001395,0
E02001344,E02001396,0
E02001344,E02001397,28
E02001344,E02001398,0
E02001344,E02001400,6
E02001344,E02001401,38
E02001344,E02001402,4
E02001344,E02001403,11
E02001344,E02001405,8
E02001344,E02006932,2
E02001344,E02006933,0
E02001344,E02006934,0
E02001345,E02001341,20
E02001345,E02001342,6
E02001345,E02001343,21
E02001345,E02001344,17
E02001345,E02001345,25
E02001345,E02001346,52
E02001345,E02001347,0
E02001345,E02001351,0
E02001345,E02001360,1
E02001345,E02001368,0
E02001345,E02001369,0
E02001345,E02001372,2
E02001345,E02001373,0
E02001345,E02001374,1
E02001345,E02001377,1
E02001345,E02001381,0
E02001345,E02001383,0
E02001345,E02001384,0
E02001345,E02001386,15
E02001345,E02001387,8
E02001345,E02001388,0
E02001345,E02001390,0
E02001345,E02001392,6
E02001345,E02001393,11
E02001345,E02001394,1
E02001345,E02001395,0
E02001345,E02001396,0
E02001345,E02001397,20
E02001345,E02001400,6
E02001345,E02001401,52
E02001345,E02001402,0
E02001345,E02001403,8
E02001345,E02001405,16
E02001345,E02006932,1
E02001345,E02006933,1
E02001345,E02006934,1
E02001346,E02001341,16
E02001346,E02001342,0
E02001346,E02001343,17
E02001346,E02001344,18
E02001346,E02001345,15
E02001346,E02001346,64
E02001346,E02001347,0
E02001346,E02001350,0
E02001346,E02001351,0
E02001346,E02001360,0
E02001346,E02001367,0
E02001346,E02001368,0
E02001346,E02001372,0
E02001346,E02001373,0
E02001346,E02001374,0
E02001346,E02001377,0
