MSOA11CD,lon,lat,centroid
E02000246,-0.39530441424831225,51.53434308258351,"c(-0.395304414248312, 51.5343430825835)"
E02000247,-0.3714280519295205,51.53429361920086,"c(-0.37142805192952, 51.5342936192009)"
E02000244,-0.3241463,51.5366469,"c(-0.3241463, 51.5366469)"
E02000242,-0.311702,51.5396514,"c(-0.311702, 51.5396514)"
E02000243,-0.34547,51.5374881,"c(-0.34547, 51.5374881)"
E02000240,-0.3724369,51.5505281,"c(-0.3724369, 51.5505281)"
E02000241,-0.3636313,51.5500956,"c(-0.3636313, 51.5500956)"
E02000248,-0.2925453,51.5288308,"c(-0.2925453, 51.5288308)"
E02000249,-0.3520640158253087,51.528132085006064,"c(-0.352064015825309, 51.5281320850061)"
E02000437,-0.3402102,51.6064312,"c(-0.3402102, 51.6064312)"
E02000434,-0.29207166053310524,51.607576401523325,"c(-0.292071660533105, 51.6075764015233)"
E02000435,-0.32266699621640504,51.611312238227995,"c(-0.322666996216405, 51.611312238228)"
E02000432,-0.107128,51.5715078,"c(-0.107128, 51.5715078)"
E02000433,-0.3095453968086521,51.62005571912923,"c(-0.309545396808652, 51.6200557191292)"
E02000430,-0.1228238,51.5767349,"c(-0.1228238, 51.5767349)"
E02000431,-0.1376458,51.5709031,"c(-0.1376458, 51.5709031)"
E02000438,-0.36308320372697567,51.60875778800704,"c(-0.363083203726976, 51.608757788007)"
E02000439,-0.27943549924628186,51.604996588823106,"c(-0.279435499246282, 51.6049965888231)"
E02000746,0.06544198483051501,51.51201196076911,"c(0.065441984830515, 51.5120119607691)"
E02000747,0.0179205,51.5094589,"c(0.0179205, 51.5094589)"
E02000744,0.02408776401956665,51.51918287805846,"c(0.0240877640195667, 51.5191828780585)"
E02000745,0.040059563324805675,51.516727115481714,"c(0.0400595633248057, 51.5167271154817)"
E02000544,-0.349402,51.4610312,"c(-0.349402, 51.4610312)"
E02000545,-0.3318365427053204,51.461328287207984,"c(-0.33183654270532, 51.461328287208)"
E02000542,-0.3785526900454216,51.46836877541548,"c(-0.378552690045422, 51.4683687754155)"
E02000543,-0.36437380915669304,51.46504146157304,"c(-0.364373809156693, 51.465041461573)"
E02000540,-0.34940272395457084,51.471919003186336,"c(-0.349402723954571, 51.4719190031863)"
E02000541,-0.3915045045757855,51.474508974765136,"c(-0.391504504575786, 51.4745089747651)"
E02000548,-0.43513435861875355,51.45208464210877,"c(-0.435134358618754, 51.4520846421088)"
E02000549,-0.40313330000000003,51.4490457,"c(-0.4031333, 51.4490457)"
E02000737,0.05628820624825439,51.52841795849466,"c(0.0562882062482544, 51.5284179584947)"
E02000734,0.0154764,51.5323981,"c(0.0154764, 51.5323981)"
E02000735,0.03357499591454033,51.52867906673131,"c(0.0335749959145403, 51.5286790667313)"
E02000732,0.04646057052963723,51.53484941314907,"c(0.0464605705296372, 51.5348494131491)"
E02000733,0.008295358831993567,51.53386992004922,"c(0.00829535883199357, 51.5338699200492)"
E02000730,0.029485450533504782,51.53753589738195,"c(0.0294854505335048, 51.537535897382)"
E02000731,0.051443907800779134,51.534454267203515,"c(0.0514439078007791, 51.5344542672035)"
E02000738,0.043009883171653704,51.52860535845217,"c(0.0430098831716537, 51.5286053584522)"
E02000739,0.023918695830778866,51.527557608769285,"c(0.0239186958307789, 51.5275576087693)"
E02000646,-0.1339591,51.4362352,"c(-0.1339591, 51.4362352)"
E02000647,-0.11442677790990112,51.428836554398224,"c(-0.114426777909901, 51.4288365543982)"
E02000644,-0.1134516528613043,51.43596073802863,"c(-0.113451652861304, 51.4359607380286)"
E02000645,-0.1006815750776608,51.434093199359076,"c(-0.100681575077661, 51.4340931993591)"
E02000642,-0.10497822781161238,51.44377153588936,"c(-0.104978227811612, 51.4437715358894)"
E02000643,-0.1267375,51.4382853,"c(-0.1267375, 51.4382853)"
E02000640,-0.1336563,51.4441066,"c(-0.1336563, 51.4441066)"
E02000641,-0.11263828474958502,51.4464433623387,"c(-0.112638284749585, 51.4464433623387)"
E02000648,-0.09940822862205517,51.426567793417476,"c(-0.0994082286220552, 51.4265677934175)"
E02000649,-0.13199875342499987,51.42839724468729,"c(-0.131998753425, 51.4283972446873)"
E02000926,-0.1767892,51.4727002,"c(-0.1767892, 51.4727002)"
E02000927,-0.15341453287148205,51.46601691758442,"c(-0.153414532871482, 51.4660169175844)"
E02000924,-0.1466041,51.4752104,"c(-0.1466041, 51.4752104)"
E02000925,-0.16330041314276478,51.47479945679018,"c(-0.163300413142765, 51.4747994567902)"
E02000922,0.011744219568008996,51.55554917513072,"c(0.011744219568009, 51.5555491751307)"
E02000923,-0.16451763307424813,51.477316218425,"c(-0.164517633074248, 51.477316218425)"
E02000920,-0.014412082138443869,51.56060891965695,"c(-0.0144120821384439, 51.5606089196569)"
E02000921,0.0055549,51.5554274,"c(0.0055549, 51.5554274)"
E02000106,-0.2500833509761411,51.558302006945745,"c(-0.250083350976141, 51.5583020069457)"
E02000187,-0.13452719158222642,51.53073656788583,"c(-0.134527191582226, 51.5307365678858)"
E02000107,-0.21927883671897144,51.553981841231526,"c(-0.219278836718971, 51.5539818412315)"
E02000186,-0.1390168,51.5346476,"c(-0.1390168, 51.5346476)"
E02000104,-0.29283823201351067,51.562036138442416,"c(-0.292838232013511, 51.5620361384424)"
E02000185,-0.1867918,51.5392584,"c(-0.1867918, 51.5392584)"
E02000105,-0.311518416418873,51.56265068385252,"c(-0.311518416418873, 51.5626506838525)"
E02000184,-0.13644943484833416,51.53951401171141,"c(-0.136449434848334, 51.5395140117114)"
E02000102,-0.2496054,51.5644002,"c(-0.2496054, 51.5644002)"
E02000183,-0.15320250630840093,51.53821870423471,"c(-0.153202506308401, 51.5382187042347)"
E02000103,-0.2327294,51.5620336,"c(-0.2327294, 51.5620336)"
E02000182,-0.1752472,51.5418352,"c(-0.1752472, 51.5418352)"
E02000100,-0.3213794,51.5680969,"c(-0.3213794, 51.5680969)"
E02000181,-0.18721094013770456,51.54405618224656,"c(-0.187210940137705, 51.5440561822466)"
E02000928,-0.22228274231770473,51.46795351638736,"c(-0.222282742317705, 51.4679535163874)"
E02000101,-0.2696345494742142,51.56568746599177,"c(-0.269634549474214, 51.5656874659918)"
E02000180,-0.13084064059347747,51.54309250292967,"c(-0.130840640593477, 51.5430925029297)"
E02000929,-0.177333,51.4651538,"c(-0.177333, 51.4651538)"
E02000108,-0.32475982346570986,51.55828993715848,"c(-0.32475982346571, 51.5582899371585)"
E02000189,-0.1186903,51.5277043,"c(-0.1186903, 51.5277043)"
E02000109,-0.27840174578865245,51.55468931473227,"c(-0.278401745788652, 51.5546893147323)"
E02000188,-0.1411706471569863,51.5285035779739,"c(-0.141170647156986, 51.5285035779739)"
E02006918,-0.0489466,51.5607528,"c(-0.0489466, 51.5607528)"
E02000876,-0.05857766821489276,51.524191052519754,"c(-0.0585776682148928, 51.5241910525198)"
E02000877,-0.0309211,51.5193021,"c(-0.0309211, 51.5193021)"
E02000874,-0.0548542,51.5242535,"c(-0.0548542, 51.5242535)"
E02000875,-0.0189955,51.5212836,"c(-0.0189955, 51.5212836)"
E02000872,-0.06885326794444933,51.5258535414037,"c(-0.0688532679444493, 51.5258535414037)"
E02000873,-0.0456457,51.5219722,"c(-0.0456457, 51.5219722)"
E02000870,-0.04891215696954065,51.52861949329496,"c(-0.0489121569695406, 51.528619493295)"
E02000871,-0.015870148499016287,51.525412838350086,"c(-0.0158701484990163, 51.5254128383501)"
E02000056,-0.1801998,51.5831441,"c(-0.1801998, 51.5831441)"
E02000057,-0.21644103910877566,51.583531785213964,"c(-0.216441039108776, 51.583531785214)"
E02000055,-0.2214668,51.5883955,"c(-0.2214668, 51.5883955)"
E02000052,-0.172152,51.5931898,"c(-0.172152, 51.5931898)"
E02000053,-0.24896961039508608,51.5914227112695,"c(-0.248969610395086, 51.5914227112695)"
E02000050,-0.17658111320586092,51.60200111566499,"c(-0.176581113205861, 51.602001115665)"
E02000878,-0.07136389990662785,51.5183827194191,"c(-0.0713638999066279, 51.5183827194191)"
E02000051,-0.1987920345040543,51.594831317289604,"c(-0.198792034504054, 51.5948313172896)"
E02000879,-0.04894674923893349,51.51685841861569,"c(-0.0489467492389335, 51.5168584186157)"
E02000058,-0.1991985,51.5822067,"c(-0.1991985, 51.5822067)"
E02000059,-0.24181750287051829,51.579519917831114,"c(-0.241817502870518, 51.5795199178311)"
E02000366,-0.0453782,51.5403334,"c(-0.0453782, 51.5403334)"
E02000742,0.05269922569725327,51.52194365776314,"c(0.0526992256972533, 51.5219436577631)"
E02000743,0.016093696794748223,51.51936935667695,"c(0.0160936967947482, 51.5193693566769)"
E02000740,0.012689,51.5242501,"c(0.012689, 51.5242501)"
E02000741,0.03528592061099638,51.526876738889904,"c(0.0352859206109964, 51.5268767388899)"
E02000748,0.0517936,51.5161447,"c(0.0517936, 51.5161447)"
E02000749,0.0316824,51.5134995,"c(0.0316824, 51.5134995)"
E02000976,-0.18779050201780895,51.513901930018,"c(-0.187790502017809, 51.513901930018)"
E02000977,-0.1284012,51.5105259,"c(-0.1284012, 51.5105259)"
E02000974,-0.1701829,51.5165732,"c(-0.1701829, 51.5165732)"
E02000975,-0.1796893066282185,51.51465090493859,"c(-0.179689306628218, 51.5146509049386)"
E02000972,-0.13993789352417738,51.51789896013298,"c(-0.139937893524177, 51.517898960133)"
E02000973,-0.1955897779648803,51.51675124603873,"c(-0.19558977796488, 51.5167512460387)"
E02000970,-0.15100223908742363,51.51869616441935,"c(-0.151002239087424, 51.5186961644194)"
E02000156,-0.014608042224302517,51.37609902379521,"c(-0.0146080422243025, 51.3760990237952)"
E02000971,-0.16261780982447985,51.51826988826169,"c(-0.16261780982448, 51.5182698882617)"
E02000157,0.07768922011909421,51.37323385588977,"c(0.0776892201190942, 51.3732338558898)"
E02000154,0.09748763596849064,51.382862829518785,"c(0.0974876359684906, 51.3828628295188)"
E02000155,0.10881471363858101,51.37865705269124,"c(0.108814713638581, 51.3786570526912)"
E02000152,0.050641067813178245,51.387670133336776,"c(0.0506410678131782, 51.3876701333368)"
E02000153,0.0048069,51.3817546,"c(0.0048069, 51.3817546)"
E02000150,-0.03220622923360528,51.391744086025945,"c(-0.0322062292336053, 51.3917440860259)"
E02006927,0.0227735,51.4590506,"c(0.0227735, 51.4590506)"
E02000151,0.0776086,51.3870935,"c(0.0776086, 51.3870935)"
E02006924,0.0636382,51.5709703,"c(0.0636382, 51.5709703)"
E02000979,-0.1347274222348197,51.49624281354723,"c(-0.13472742223482, 51.4962428135472)"
E02006925,0.0576025,51.5815898,"c(0.0576025, 51.5815898)"
E02006921,-0.060154521439490245,51.56554149006122,"c(-0.0601545214394902, 51.5655414900612)"
E02000158,0.11432146425966298,51.37061074666922,"c(0.114321464259663, 51.3706107466692)"
