Area of residence,Area of workplace,potential_demand
E02005954,E02005947,507
E02005954,E02005948,106
E02005954,E02005949,89
E02005954,E02005950,91
E02005954,E02005951,6
E02005954,E02005952,173
E02005954,E02005953,18
E02005954,E02005954,63
E02005954,E02005955,66
E02005954,E02005956,28
E02005954,E02005957,19
E02005954,E02005978,4
E02005954,E02005979,23
E02005955,E02005940,4
E02005955,E02005941,11
E02005955,E02005942,14
E02005955,E02005943,7
E02005955,E02005945,103
E02005955,E02005946,11
E02005955,E02005947,296
E02005955,E02005948,61
E02005955,E02005949,80
E02005955,E02005950,74
E02005955,E02005951,13
E02005955,E02005952,238
E02005955,E02005953,18
E02005955,E02005954,87
E02005955,E02005955,62
E02005955,E02005956,35
E02005955,E02005957,13
E02005955,E02005978,3
E02005955,E02005979,19
E02005956,E02005940,2
E02005956,E02005941,3
E02005956,E02005942,4
E02005956,E02005945,61
E02005956,E02005946,8
E02005956,E02005947,125
E02005956,E02005948,18
E02005956,E02005949,40
E02005956,E02005950,24
E02005956,E02005952,162
E02005956,E02005953,4
E02005956,E02005954,56
E02005956,E02005955,51
E02005956,E02005956,20
E02005956,E02005957,16
E02005956,E02005978,1
E02005956,E02005979,3
E02005957,E02005940,2
E02005957,E02005941,3
E02005957,E02005942,5
E02005957,E02005945,47
E02005957,E02005946,9
E02005957,E02005947,106
E02005957,E02005948,17
E02005957,E02005949,31
E02005957,E02005950,28
E02005957,E02005951,4
E02005957,E02005952,183
E02005957,E02005953,7
E02005957,E02005954,75
E02005957,E02005955,61
E02005957,E02005956,38
E02005957,E02005957,9
E02005957,E02005978,1
E02005957,E02005979,6
E02005978,E02005940,4
E02005978,E02005941,12
E02005978,E02005942,11
E02005978,E02005945,25
E02005978,E02005946,2
E02005978,E02005947,222
E02005978,E02005948,69
E02005978,E02005949,13
E02005978,E02005950,16
E02005978,E02005952,25
E02005978,E02005953,2
E02005978,E02005954,18
E02005978,E02005955,10
E02005978,E02005956,1
E02005978,E02005978,14
E02005978,E02005979,46
E02005979,E02005940,5
E02005979,E02005941,19
E02005979,E02005942,22
E02005979,E02005945,45
E02005979,E02005946,2
E02005979,E02005947,424
E02005979,E02005948,125
E02005979,E02005949,33
E02005979,E02005950,39
E02005979,E02005951,12
E02005979,E02005952,52
E02005979,E02005953,10
E02005979,E02005954,45
E02005979,E02005955,36
E02005979,E02005956,6
E02005979,E02005957,2
E02005979,E02005978,27
E02005979,E02005979,28
