Area of residence,Area of workplace,potential_demand
E02005940,E02005940,50
E02005940,E02005941,87
E02005940,E02005942,70
E02005940,E02005945,67
E02005940,E02005946,6
E02005940,E02005947,412
E02005940,E02005948,81
E02005940,E02005949,40
E02005940,E02005950,30
E02005940,E02005952,28
E02005940,E02005954,20
E02005940,E02005955,9
E02005940,E02005956,2
E02005940,E02005978,4
E02005940,E02005979,9
E02005941,E02005940,20
E02005941,E02005941,220
E02005941,E02005942,108
E02005941,E02005945,114
E02005941,E02005946,6
E02005941,E02005947,558
E02005941,E02005948,101
E02005941,E02005949,56
E02005941,E02005950,32
E02005941,E02005951,7
E02005941,E02005952,33
E02005941,E02005954,27
E02005941,E02005955,11
E02005941,E02005956,5
E02005941,E02005979,11
E02005942,E02005940,9
E02005942,E02005941,55
E02005942,E02005942,107
E02005942,E02005945,72
E02005942,E02005946,4
E02005942,E02005947,720
E02005942,E02005948,104
E02005942,E02005949,58
E02005942,E02005950,29
E02005942,E02005952,20
E02005942,E02005954,20
E02005942,E02005955,16
E02005942,E02005979,17
E02005943,E02005940,9
E02005943,E02005941,31
E02005943,E02005942,60
E02005943,E02005943,60
E02005943,E02005944,5
E02005943,E02005945,296
E02005943,E02005946,19
E02005943,E02005947,585
E02005943,E02005948,81
E02005943,E02005949,122
E02005943,E02005950,72
E02005943,E02005952,68
E02005943,E02005953,10
E02005943,E02005954,52
E02005943,E02005955,20
E02005943,E02005956,4
E02005943,E02005957,8
E02005943,E02005979,14
E02005944,E02005940,7
E02005944,E02005941,26
E02005944,E02005942,19
E02005944,E02005943,14
E02005944,E02005944,35
E02005944,E02005945,401
E02005944,E02005946,65
E02005944,E02005947,240
E02005944,E02005948,32
E02005944,E02005949,144
E02005944,E02005950,38
E02005944,E02005952,130
E02005944,E02005953,6
E02005944,E02005954,55
E02005944,E02005955,22
E02005944,E02005956,24
E02005944,E02005957,7
E02005944,E02005979,8
E02005945,E02005940,11
E02005945,E02005941,32
E02005945,E02005942,34
E02005945,E02005943,15
E02005945,E02005944,11
E02005945,E02005945,925
E02005945,E02005946,36
E02005945,E02005947,558
E02005945,E02005948,93
E02005945,E02005949,350
E02005945,E02005950,76
E02005945,E02005952,84
E02005945,E02005953,5
E02005945,E02005954,65
E02005945,E02005955,35
E02005945,E02005956,7
E02005945,E02005979,20
E02005946,E02005940,5
E02005946,E02005941,27
E02005946,E02005942,23
E02005946,E02005944,30
E02005946,E02005945,486
E02005946,E02005946,111
E02005946,E02005947,323
E02005946,E02005948,65
E02005946,E02005949,265
E02005946,E02005950,57
E02005946,E02005951,4
E02005946,E02005952,159
E02005946,E02005953,8
E02005946,E02005954,59
E02005946,E02005955,41
E02005946,E02005956,22
E02005946,E02005979,9
E02005947,E02005941,32
E02005947,E02005942,50
E02005947,E02005945,82
E02005947,E02005946,8
E02005947,E02005947,1146
E02005947,E02005948,136
E02005947,E02005949,61
E02005947,E02005950,49
E02005947,E02005952,29
E02005947,E02005953,10
E02005947,E02005954,30
E02005947,E02005955,21
E02005947,E02005979,19
E02005948,E02005940,9
E02005948,E02005941,35
E02005948,E02005942,42
E02005948,E02005945,83
E02005948,E02005946,8
E02005948,E02005947,885
E02005948,E02005948,259
E02005948,E02005949,70
E02005948,E02005950,40
E02005948,E02005952,46
E02005948,E02005954,49
E02005948,E02005955,14
E02005948,E02005978,7
E02005948,E02005979,48
E02005949,E02005941,10
E02005949,E02005942,20
E02005949,E02005945,413
E02005949,E02005946,35
E02005949,E02005947,303
E02005949,E02005948,41
E02005949,E02005949,346
E02005949,E02005950,70
E02005949,E02005952,135
E02005949,E02005954,43
E02005949,E02005955,31
E02005949,E02005956,21
E02005949,E02005957,10
E02005949,E02005979,4
E02005950,E02005940,17
E02005950,E02005941,31
E02005950,E02005942,44
E02005950,E02005943,13
E02005950,E02005945,224
E02005950,E02005946,18
E02005950,E02005947,1139
E02005950,E02005948,195
E02005950,E02005949,226
E02005950,E02005950,332
E02005950,E02005951,10
E02005950,E02005952,105
E02005950,E02005953,26
E02005950,E02005954,99
E02005950,E02005955,48
E02005950,E02005956,24
E02005950,E02005957,8
E02005950,E02005978,4
E02005950,E02005979,31
E02005951,E02005941,24
E02005951,E02005942,24
E02005951,E02005945,73
E02005951,E02005946,6
E02005951,E02005947,780
E02005951,E02005948,155
E02005951,E02005949,76
E02005951,E02005950,70
E02005951,E02005951,65
E02005951,E02005952,49
E02005951,E02005953,10
E02005951,E02005954,66
E02005951,E02005955,28
E02005951,E02005956,9
E02005951,E02005978,7
E02005951,E02005979,26
E02005952,E02005940,15
E02005952,E02005941,33
E02005952,E02005942,44
E02005952,E02005943,15
E02005952,E02005944,13
E02005952,E02005945,419
E02005952,E02005946,47
E02005952,E02005947,803
E02005952,E02005948,177
E02005952,E02005949,352
E02005952,E02005950,207
E02005952,E02005951,8
E02005952,E02005952,537
E02005952,E02005953,37
E02005952,E02005954,301
E02005952,E02005955,130
E02005952,E02005956,75
E02005952,E02005957,12
E02005952,E02005978,8
E02005952,E02005979,25
E02005953,E02005940,10
E02005953,E02005941,25
E02005953,E02005942,33
E02005953,E02005945,108
E02005953,E02005946,6
E02005953,E02005947,515
E02005953,E02005948,85
E02005953,E02005949,111
E02005953,E02005950,146
E02005953,E02005951,12
E02005953,E02005952,100
E02005953,E02005953,39
E02005953,E02005954,102
E02005953,E02005955,39
E02005953,E02005956,9
E02005953,E02005957,5
E02005953,E02005979,20
E02005954,E02005940,13
E02005954,E02005941,19
E02005954,E02005942,36
E02005954,E02005945,158
E02005954,E02005946,14
E02005954,E02005947,592
E02005954,E02005948,120
E02005954,E02005949,117
E02005954,E02005950,135
E02005954,E02005951,10
E02005954,E02005952,314
E02005954,E02005953,38
E02005954,E02005954,257
E02005954,E02005955,109
E02005954,E02005956,62
E02005954,E02005957,21
E02005954,E02005978,6
E02005954,E02005979,28
E02005955,E02005940,6
E02005955,E02005941,15
E02005955,E02005942,21
E02005955,E02005943,11
E02005955,E02005945,138
E02005955,E02005946,17
E02005955,E02005947,366
E02005955,E02005948,79
E02005955,E02005949,90
E02005955,E02005950,95
E02005955,E02005951,14
E02005955,E02005952,325
E02005955,E02005953,30
E02005955,E02005954,194
E02005955,E02005955,249
E02005955,E02005956,60
E02005955,E02005957,16
E02005955,E02005978,4
E02005955,E02005979,23
E02005956,E02005940,3
E02005956,E02005941,5
E02005956,E02005942,7
E02005956,E02005945,80
E02005956,E02005946,13
E02005956,E02005947,183
E02005956,E02005948,25
E02005956,E02005949,54
E02005956,E02005950,37
E02005956,E02005952,307
E02005956,E02005953,5
E02005956,E02005954,92
E02005956,E02005955,98
E02005956,E02005956,107
E02005956,E02005957,60
E02005956,E02005978,2
E02005956,E02005979,5
E02005957,E02005940,2
E02005957,E02005941,4
E02005957,E02005942,8
E02005957,E02005945,77
E02005957,E02005946,10
E02005957,E02005947,172
E02005957,E02005948,27
E02005957,E02005949,42
E02005957,E02005950,38
E02005957,E02005951,5
E02005957,E02005952,270
E02005957,E02005953,11
E02005957,E02005954,99
E02005957,E02005955,101
E02005957,E02005956,93
E02005957,E02005957,84
E02005957,E02005978,2
E02005957,E02005979,11
E02005978,E02005940,5
E02005978,E02005941,15
E02005978,E02005942,13
E02005978,E02005945,33
E02005978,E02005946,3
E02005978,E02005947,271
E02005978,E02005948,83
E02005978,E02005949,17
E02005978,E02005950,18
E02005978,E02005952,36
E02005978,E02005953,3
E02005978,E02005954,22
E02005978,E02005955,14
E02005978,E02005956,3
E02005978,E02005978,68
E02005978,E02005979,83
E02005979,E02005940,10
E02005979,E02005941,21
E02005979,E02005942,25
E02005979,E02005945,58
E02005979,E02005946,5
E02005979,E02005947,510
E02005979,E02005948,156
E02005979,E02005949,40
E02005979,E02005950,44
E02005979,E02005951,14
E02005979,E02005952,66
E02005979,E02005953,10
E02005979,E02005954,52
E02005979,E02005955,40
E02005979,E02005956,8
E02005979,E02005957,3
E02005979,E02005978,37
E02005979,E02005979,185
