Area of residence,Area of workplace,potential_demand
E02005940,E02005940,34
E02005940,E02005941,58
E02005940,E02005942,55
E02005940,E02005945,68
E02005940,E02005946,2
E02005940,E02005947,341
E02005940,E02005948,67
E02005940,E02005949,23
E02005940,E02005950,29
E02005940,E02005952,12
E02005940,E02005954,7
E02005940,E02005955,4
E02005940,E02005956,0
E02005940,E02005978,1
E02005940,E02005979,3
E02005941,E02005940,7
E02005941,E02005941,74
E02005941,E02005942,57
E02005941,E02005945,111
E02005941,E02005946,2
E02005941,E02005947,427
E02005941,E02005948,75
E02005941,E02005949,33
E02005941,E02005950,30
E02005941,E02005951,8
E02005941,E02005952,14
E02005941,E02005954,14
E02005941,E02005955,1
E02005941,E02005956,2
E02005941,E02005979,2
E02005942,E02005940,7
E02005942,E02005941,34
E02005942,E02005942,62
E02005942,E02005945,68
E02005942,E02005946,1
E02005942,E02005947,424
E02005942,E02005948,63
E02005942,E02005949,59
E02005942,E02005950,24
E02005942,E02005952,4
E02005942,E02005954,8
E02005942,E02005955,6
E02005942,E02005979,19
E02005943,E02005940,10
E02005943,E02005941,30
E02005943,E02005942,58
E02005943,E02005943,35
E02005943,E02005944,5
E02005943,E02005945,170
E02005943,E02005946,14
E02005943,E02005947,431
E02005943,E02005948,63
E02005943,E02005949,84
E02005943,E02005950,59
E02005943,E02005952,74
E02005943,E02005953,8
E02005943,E02005954,49
E02005943,E02005955,24
E02005943,E02005956,1
E02005943,E02005957,6
E02005943,E02005979,7
E02005944,E02005940,4
E02005944,E02005941,14
E02005944,E02005942,19
E02005944,E02005943,9
E02005944,E02005944,10
E02005944,E02005945,158
E02005944,E02005946,27
E02005944,E02005947,178
E02005944,E02005948,33
E02005944,E02005949,95
E02005944,E02005950,28
E02005944,E02005952,134
E02005944,E02005953,6
E02005944,E02005954,54
E02005944,E02005955,26
E02005944,E02005956,24
E02005944,E02005957,1
E02005944,E02005979,1
E02005945,E02005940,12
E02005945,E02005941,30
E02005945,E02005942,34
E02005945,E02005943,8
E02005945,E02005944,5
E02005945,E02005945,209
E02005945,E02005946,23
E02005945,E02005947,387
E02005945,E02005948,75
E02005945,E02005949,140
E02005945,E02005950,47
E02005945,E02005952,70
E02005945,E02005953,6
E02005945,E02005954,64
E02005945,E02005955,36
E02005945,E02005956,8
E02005945,E02005979,12
E02005946,E02005940,0
E02005946,E02005941,29
E02005946,E02005942,22
E02005946,E02005944,8
E02005946,E02005945,246
E02005946,E02005946,38
E02005946,E02005947,260
E02005946,E02005948,37
E02005946,E02005949,148
E02005946,E02005950,46
E02005946,E02005951,6
E02005946,E02005952,154
E02005946,E02005953,9
E02005946,E02005954,62
E02005946,E02005955,48
E02005946,E02005956,21
E02005946,E02005979,2
E02005947,E02005941,20
E02005947,E02005942,27
E02005947,E02005945,64
E02005947,E02005946,8
E02005947,E02005947,380
E02005947,E02005948,32
E02005947,E02005949,41
E02005947,E02005950,26
E02005947,E02005952,26
E02005947,E02005953,8
E02005947,E02005954,28
E02005947,E02005955,20
E02005947,E02005979,17
E02005948,E02005940,9
E02005948,E02005941,30
E02005948,E02005942,27
E02005948,E02005945,64
E02005948,E02005946,2
E02005948,E02005947,327
E02005948,E02005948,54
E02005948,E02005949,61
E02005948,E02005950,30
E02005948,E02005952,44
E02005948,E02005954,46
E02005948,E02005955,14
E02005948,E02005978,6
E02005948,E02005979,25
E02005949,E02005941,1
E02005949,E02005942,11
E02005949,E02005945,147
E02005949,E02005946,21
E02005949,E02005947,186
E02005949,E02005948,34
E02005949,E02005949,82
E02005949,E02005950,33
E02005949,E02005952,110
E02005949,E02005954,33
E02005949,E02005955,32
E02005949,E02005956,18
E02005949,E02005957,8
E02005949,E02005979,0
E02005950,E02005940,15
E02005950,E02005941,25
E02005950,E02005942,35
E02005950,E02005943,7
E02005950,E02005945,136
E02005950,E02005946,13
E02005950,E02005947,540
E02005950,E02005948,97
E02005950,E02005949,102
E02005950,E02005950,73
E02005950,E02005951,5
E02005950,E02005952,76
E02005950,E02005953,10
E02005950,E02005954,72
E02005950,E02005955,34
E02005950,E02005956,17
E02005950,E02005957,6
E02005950,E02005978,1
E02005950,E02005979,28
E02005951,E02005941,22
E02005951,E02005942,20
E02005951,E02005945,59
E02005951,E02005946,1
E02005951,E02005947,385
E02005951,E02005948,92
E02005951,E02005949,71
E02005951,E02005950,48
E02005951,E02005951,21
